"GEO_ID","NAME","B08303_001E","B08303_001M","B08303_002E","B08303_002M","B08303_003E","B08303_003M","B08303_004E","B08303_004M","B08303_005E","B08303_005M","B08303_006E","B08303_006M","B08303_007E","B08303_007M","B08303_008E","B08303_008M","B08303_009E","B08303_009M","B08303_010E","B08303_010M","B08303_011E","B08303_011M","B08303_012E","B08303_012M","B08303_013E","B08303_013M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than 5 minutes","Margin of Error!!Total:!!Less than 5 minutes","Estimate!!Total:!!5 to 9 minutes","Margin of Error!!Total:!!5 to 9 minutes","Estimate!!Total:!!10 to 14 minutes","Margin of Error!!Total:!!10 to 14 minutes","Estimate!!Total:!!15 to 19 minutes","Margin of Error!!Total:!!15 to 19 minutes","Estimate!!Total:!!20 to 24 minutes","Margin of Error!!Total:!!20 to 24 minutes","Estimate!!Total:!!25 to 29 minutes","Margin of Error!!Total:!!25 to 29 minutes","Estimate!!Total:!!30 to 34 minutes","Margin of Error!!Total:!!30 to 34 minutes","Estimate!!Total:!!35 to 39 minutes","Margin of Error!!Total:!!35 to 39 minutes","Estimate!!Total:!!40 to 44 minutes","Margin of Error!!Total:!!40 to 44 minutes","Estimate!!Total:!!45 to 59 minutes","Margin of Error!!Total:!!45 to 59 minutes","Estimate!!Total:!!60 to 89 minutes","Margin of Error!!Total:!!60 to 89 minutes","Estimate!!Total:!!90 or more minutes","Margin of Error!!Total:!!90 or more minutes",
"1500000US250250104043","Block Group 3; Census Tract 104.04; Suffolk County; Massachusetts","474","186","0","14","84","81","62","49","142","104","28","28","8","9","74","52","32","34","0","14","32","31","4","6","8","12",
"1500000US250250104044","Block Group 4; Census Tract 104.04; Suffolk County; Massachusetts","318","102","0","14","0","14","12","14","47","49","126","33","6","9","62","43","0","14","5","9","43","35","17","19","0","14",
"1500000US250250104051","Block Group 1; Census Tract 104.05; Suffolk County; Massachusetts","971","190","130","91","190","87","132","110","74","55","104","53","7","15","113","65","25","29","25","32","90","54","68","63","13","24",
"1500000US250250104052","Block Group 2; Census Tract 104.05; Suffolk County; Massachusetts","814","193","54","40","110","62","130","76","160","70","118","58","80","103","98","43","3","5","18","21","26","22","8","11","9","17",
"1500000US250250104053","Block Group 3; Census Tract 104.05; Suffolk County; Massachusetts","111","47","0","14","0","14","19","19","29","31","23","23","3","5","16","21","0","14","6","9","9","11","0","14","6","10",
"1500000US250250104081","Block Group 1; Census Tract 104.08; Suffolk County; Massachusetts","797","133","45","45","58","44","143","87","186","62","112","44","22","17","77","44","31","22","26","16","44","29","31","21","22","26",
"1500000US250250105001","Block Group 1; Census Tract 105; Suffolk County; Massachusetts","336","117","4","12","91","64","59","45","49","50","64","49","13","19","29","24","5","8","0","14","16","22","6","9","0","14",
"1500000US250250105002","Block Group 2; Census Tract 105; Suffolk County; Massachusetts","350","138","0","14","10","11","45","63","114","78","32","21","16","15","53","39","0","14","0","14","38","42","34","39","8","14",
"1500000US250250105003","Block Group 3; Census Tract 105; Suffolk County; Massachusetts","490","144","24","31","5","8","45","38","61","42","60","42","21","26","144","90","22","37","42","52","37","35","29","19","0","14",
"1500000US250250106001","Block Group 1; Census Tract 106; Suffolk County; Massachusetts","644","270","50","77","0","14","10","16","153","135","139","148","26","23","91","64","10","15","48","47","112","106","5","8","0","14",
"1500000US250250106002","Block Group 2; Census Tract 106; Suffolk County; Massachusetts","624","150","0","14","49","52","85","61","54","34","157","78","85","75","101","72","26","33","20","22","32","37","15","18","0","14",
"1500000US250250106003","Block Group 3; Census Tract 106; Suffolk County; Massachusetts","242","126","0","14","24","27","0","14","91","89","27","32","24","28","44","36","16","26","7","13","9","15","0","14","0","14",
"1500000US250250107011","Block Group 1; Census Tract 107.01; Suffolk County; Massachusetts","380","105","8","15","48","34","44","29","0","14","90","64","33","28","54","33","8","13","42","37","36","42","0","14","17","21",
"1500000US250250107012","Block Group 2; Census Tract 107.01; Suffolk County; Massachusetts","464","151","60","69","49","45","81","69","27","25","45","37","23","28","119","65","37","28","9","14","14","18","0","14","0","14",
"1500000US250250107013","Block Group 3; Census Tract 107.01; Suffolk County; Massachusetts","393","137","0","14","0","14","44","31","115","91","78","48","7","11","94","62","54","53","0","14","0","14","0","14","1","3",
"1500000US250250107021","Block Group 1; Census Tract 107.02; Suffolk County; Massachusetts","403","108","0","14","60","45","53","39","18","16","39","28","61","52","35","27","70","62","16","18","45","36","6","10","0","14",
"1500000US250250107022","Block Group 2; Census Tract 107.02; Suffolk County; Massachusetts","277","96","16","24","33","35","22","20","34","28","34","24","39","38","45","40","0","14","31","37","14","14","0","14","9","15",
"1500000US250250107023","Block Group 3; Census Tract 107.02; Suffolk County; Massachusetts","377","132","13","19","58","69","40","32","40","57","46","34","81","51","52","39","0","14","25","24","22","25","0","14","0","14",
"1500000US250250108011","Block Group 1; Census Tract 108.01; Suffolk County; Massachusetts","383","106","5","9","34","27","40","27","102","54","58","59","58","41","66","61","0","14","0","14","15","13","5","11","0","14",
"1500000US250250108012","Block Group 2; Census Tract 108.01; Suffolk County; Massachusetts","438","191","0","14","24","23","57","47","129","117","73","55","42","32","87","59","6","11","12","11","7","13","0","14","1","6",
"1500000US250250108013","Block Group 3; Census Tract 108.01; Suffolk County; Massachusetts","550","145","0","14","54","54","98","57","70","60","69","42","38","30","152","78","29","33","16","24","0","14","24","26","0","14",
"1500000US250250108021","Block Group 1; Census Tract 108.02; Suffolk County; Massachusetts","724","272","65","76","42","47","206","222","68","42","74","57","84","48","90","54","0","14","63","61","0","14","10","15","22","28",
"1500000US250250108022","Block Group 2; Census Tract 108.02; Suffolk County; Massachusetts","641","137","0","14","13","15","86","56","83","50","136","66","67","43","137","76","13","15","37","28","22","19","47","33","0","14",
"1500000US250250108023","Block Group 3; Census Tract 108.02; Suffolk County; Massachusetts","362","105","7","11","33","39","52","44","37","25","79","50","39","42","53","42","8","12","41","30","0","14","13","19","0","14",
"1500000US250250201011","Block Group 1; Census Tract 201.01; Suffolk County; Massachusetts","211","113","63","79","0","14","13","22","66","76","35","32","18","32","0","14","0","14","16","28","0","14","0","14","0","14",
"1500000US250250201012","Block Group 2; Census Tract 201.01; Suffolk County; Massachusetts","506","217","121","190","54","65","52","44","42","52","179","123","0","14","22","26","0","14","36","44","0","14","0","14","0","14",
"1500000US250250201013","Block Group 3; Census Tract 201.01; Suffolk County; Massachusetts","593","260","25","48","40","42","142","125","213","167","23","28","47","50","44","45","13","22","0","14","46","72","0","14","0","14",
"1500000US250250201014","Block Group 4; Census Tract 201.01; Suffolk County; Massachusetts","399","181","0","14","75","75","42","46","27","31","121","80","33","51","57","67","15","24","18","32","0","14","11","19","0","14",
"1500000US250250202001","Block Group 1; Census Tract 202; Suffolk County; Massachusetts","577","221","0","14","70","86","162","108","67","64","36","40","109","86","47","41","10","16","41","52","35","31","0","14","0","14",
"1500000US250250202002","Block Group 2; Census Tract 202; Suffolk County; Massachusetts","570","163","34","55","43","49","60","46","83","59","95","68","74","56","83","73","19","30","10","17","34","33","17","26","18","28",
"1500000US250250202003","Block Group 3; Census Tract 202; Suffolk County; Massachusetts","688","267","34","49","33","33","43","37","113","74","253","196","41","40","40","44","0","14","0","14","62","65","69","68","0","14",
"1500000US250250203011","Block Group 1; Census Tract 203.01; Suffolk County; Massachusetts","1043","258","70","46","165","70","200","150","178","81","94","74","125","72","130","91","0","14","77","54","4","9","0","14","0","14",
"1500000US250250203021","Block Group 1; Census Tract 203.02; Suffolk County; Massachusetts","653","89","0","14","59","64","109","49","68","38","171","64","54","36","80","40","24","26","27","31","18","16","43","35","0","14",
