Geography,Total Estimate,Total Margin of Error,Estimate - Less than 5 minutes,Margin of Error - Less than 5 minutes,Estimate - 5 to 9 minutes,Margin of Error - 5 to 9 minutes,Estimate - 10 to 14 minutes,Margin of Error - 10 to 14 minutes,Estimate - 15 to 19 minutes,Margin of Error - 15 to 19 minutes,Estimate - 20 to 24 minutes,Margin of Error - 20 to 24 minutes,Estimate - 25 to 29 minutes,Margin of Error - 25 to 29 minutes,Estimate - 30 to 34 minutes,Margin of Error - 30 to 34 minutes,Estimate - 35 to 39 minutes,Margin of Error - 35 to 39 minutes,Estimate - 40 to 44 minutes,Margin of Error - 40 to 44 minutes,Estimate - 45 to 59 minutes,Margin of Error - 45 to 59 minutes,Estimate - 60 to 89 minutes,Margin of Error - 60 to 89 minutes,Estimate - 90 or more minutes,Margin of Error - 90 or more minutes,Block Group,Census Tract,County,State
1500000US250250403001,379,207,0,13,0,13,50,53,0,13,78,78,58,95,62,60,0,13,42,56,40,57,12,19,37,56,1,403,Suffolk County,Massachusetts
1500000US250250403002,1036,225,31,48,0,13,71,89,135,93,74,49,26,35,261,123,48,28,92,76,274,131,24,25,0,13,2,403,Suffolk County,Massachusetts
1500000US250250403003,451,147,7,13,21,26,0,13,41,39,52,47,57,43,80,58,77,52,44,43,72,59,0,13,0,13,3,403,Suffolk County,Massachusetts
1500000US250250403004,357,130,0,13,16,24,10,18,57,59,63,55,28,27,97,70,0,13,11,18,62,52,7,11,6,10,4,403,Suffolk County,Massachusetts
1500000US250250403005,392,143,0,13,0,13,30,35,12,19,50,44,25,38,135,91,22,34,34,33,63,53,21,25,0,13,5,403,Suffolk County,Massachusetts
1500000US250250404011,1092,226,41,39,63,92,3,7,102,56,137,82,97,60,424,169,0,13,44,33,116,112,49,52,16,20,1,404.01,Suffolk County,Massachusetts
1500000US250250404012,275,98,5,8,5,7,12,16,23,22,26,23,29,28,59,35,18,24,56,62,42,53,0,13,0,13,2,404.01,Suffolk County,Massachusetts
1500000US250250406001,984,273,0,13,9,13,60,47,22,28,152,70,64,42,275,122,29,26,103,77,200,109,62,67,8,13,1,406,Suffolk County,Massachusetts
1500000US250250406002,1228,232,0,13,22,29,73,42,69,37,158,64,239,115,351,113,82,78,45,33,117,70,62,45,10,16,2,406,Suffolk County,Massachusetts
1500000US250250408011,208,121,0,13,31,33,36,50,0,13,21,34,0,13,58,67,0,13,53,83,0,13,9,16,0,13,1,408.01,Suffolk County,Massachusetts
1500000US250250408012,499,256,0,13,0,13,17,21,0,13,65,62,12,19,235,187,58,83,13,20,61,67,38,34,0,13,2,408.01,Suffolk County,Massachusetts
1500000US250250408013,1503,245,27,40,66,46,101,70,147,73,298,129,130,74,223,91,120,83,60,43,149,78,106,65,76,72,3,408.01,Suffolk County,Massachusetts
1500000US250250501011,1329,448,0,13,54,49,69,55,128,130,251,118,132,110,106,130,46,49,108,122,186,96,211,158,38,61,1,501.01,Suffolk County,Massachusetts
