Zip,City,SRO, 0 BR, 1BR, 2BR, 3BR, 4BR, 5BR, 6BR, 7 BR, 8 BR,avg_per_bed
2061,Norwell,1851,2468,2646,3150,3812,4200,4830,5460,6090,6720,1399.5185185185187
2090,Westwood,1859,2479,2657,3161,3823,4212,4843,5475,6106,6738,1404.3854497354498
2458,Newton,1867,2489,2678,3182,3844,4243,4880,5516,6152,6789,1413.6554232804233
2130,Boston - Jamaica Plain,1875,2500,2680,3190,3860,4250,4887,5525,6162,6800,1416.9650793650794
0,Canton,1875,2499,2688,3192,3864,4253,4890,5529,6166,6804,1418.345238095238
1940,Lynnfield,1882,2510,2699,3213,3885,4284,4927,5570,6212,6855,1426.6152116402118
1748,Hopkinton,1891,2521,2710,3224,3897,4296,4939,5584,6228,6873,1431.4784391534392
2067,Sharon,1898,2531,2720,3234,3906,4305,4951,5597,6243,6888,1435.7933862433863
2127,Boston - South Boston ,1905,2540,2730,3250,3930,4330,4979,5629,6278,6928,1442.7026455026455
2493,Weston,1911,2548,2734,3250,3931,4327,4975,5624,6273,6922,1443.6455026455026
2135,Boston - Brighton,1920,2560,2750,3270,3950,4350,5002,5655,6307,6960,1451.4518518518519
2145,Somerville,1945,2594,2793,3318,4011,4421,5084,5747,6410,7073,1473.6358465608466
2043,Hingham,1954,2605,2804,3329,4023,4432,5097,5762,6426,7091,1478.512037037037
1890,Winchester,1954,2605,2804,3329,4023,4432,5097,5762,6426,7091,1478.512037037037
1907,Swampscott,1961,2615,2804,3339,4032,4452,5120,5788,6456,7124,1482.994708994709
2143,Somerville,1970,2626,2815,3350,4054,4464,5133,5803,6472,7142,1488.2690476190473
2460,Newton - Newtonville,1969,2625,2825,3360,4064,4473,5144,5815,6486,7157,1491.3421957671958
2465,Newton - West Newton,1969,2625,2825,3360,4064,4473,5144,5815,6486,7157,1491.3421957671958
1730,Bedford,1985,2646,2846,3381,4085,4505,5180,5856,6531,7208,1501.8240740740741
2478,Belmont,2024,2699,2909,3455,4180,4600,5290,5980,6670,7360,1534.0396825396824
1778,Wayland,2064,2752,2962,3518,4254,4684,5387,6089,6792,7494,1562.3632275132275
1887,Wilmington,2087,2783,2993,3560,4306,4737,5447,6158,6867,7578,1579.9518518518516
2466,Newton - Auburndale,2087,2783,2993,3560,4306,4737,5447,6158,6867,7578,1579.9518518518516
2113,Boston - North End,2127,2836,3046,3623,4380,4821,5543,6267,6989,7713,1608.2670634920635
2144,Somerville,2142,2856,3077,3654,4421,4862,5591,6320,7049,7779,1622.2305555555556
1742,Concord,2150,2867,3077,3665,4432,4884,5616,6349,7081,7814,1627.1690476190477
2464,Newton - Upper Falls,2166,2888,3108,3696,4473,4925,5663,6402,7140,7880,1641.2055555555555
2129,Boston - Charlestown,2190,2920,3140,3730,4510,4970,5715,6461,7206,7952,1657.121693121693
2141,Cambridge,2197,2930,3151,3749,4537,4989,5736,6485,7233,7982,1663.7947089947088
2215,Boston - Kenmore,2212,2950,3170,3770,4560,5020,5773,6526,7279,8032,1674.0137566137566
2459,Newton Center,2221,2961,3182,3780,4568,5030,5784,6539,7293,8048,1678.6285714285716
2420,Lexington,2229,2972,3192,3801,4599,5061,5821,6580,7339,8098,1687.1439153439153
2140,Cambridge,2244,2993,3213,3822,4620,5093,5856,6621,7384,8148,1697.5896825396824
2482,Wellesley,2253,3003,3234,3843,4652,5114,5880,6648,7415,8182,1705.9669312169312
2111,Boston - Chinatown ,2272,3030,3250,3870,4680,5150,5922,6695,7467,8240,1717.7164021164022
2030,Dover,2293,3058,3293,3910,4731,5210,5991,6773,7554,8336,1737.075132275132
2467,Chestnut Hill,2331,3108,3339,3969,4799,5282,6074,6866,7658,8451,1762.3527777777779
2163,Boston - Harvard Business,2407,3210,3450,4100,4960,5460,6279,7098,7917,8736,1821.1259259259257
2445,Brookline,2426,3234,3476,4137,4998,5513,6339,7167,7993,8820,1836.6007936507938
2108,Boston - Beacon Hill,2449,3266,3518,4179,5051,5565,6400,7235,8070,8904,1855.5674603174605
2139,Cambridge,2474,3298,3539,4211,5094,5608,6449,7290,8132,8973,1870.0710317460316
2210,Boston - Seaport,2490,3320,3570,4240,5130,5650,6497,7345,8192,9040,1884.0391534391538
2114,Boston - West End,2490,3320,3570,4240,5130,5650,6497,7345,8192,9040,1884.0391534391538
2138,Cambridge,2536,3381,3633,4326,5229,5765,6629,7494,8358,9224,1920.3388888888887
2446,Brookline,2591,3455,3707,4410,5334,5870,6750,7631,8511,9392,1958.2433862433863
2116,Boston - Back Bay,2591,3455,3718,4421,5346,5892,6775,7659,8542,9426,1963.170634920635
2461,Newton Highlands,2607,3476,3739,4442,5367,5913,6799,7686,8573,9460,1972.3626984126984
2199,Boston - Downtown,2615,3486,3749,4452,5387,5933,6822,7713,8602,9492,1978.3526455026456
2109,Boston,2615,3486,3749,4452,5387,5933,6822,7713,8602,9492,1978.3526455026456
2142,Cambridge,2615,3486,3749,4452,5387,5933,6822,7713,8602,9492,1978.3526455026456
2421,Lexington,2615,3486,3749,4452,5387,5933,6822,7713,8602,9492,1978.3526455026456
2468,Newton - Waban,2615,3486,3749,4452,5387,5933,6822,7713,8602,9492,1978.3526455026456
2481,Wellesley Hills,2615,3486,3749,4452,5387,5933,6822,7713,8602,9492,1978.3526455026456
2110,Boston - Financial Disctrict,2615,3486,3749,4452,5387,5933,6822,7713,8602,9492,1978.3526455026456
