Geography,Total Estimate,Total Margin of Error,Estimate - Less than 5 minutes,Margin of Error - Less than 5 minutes,Estimate - 5 to 9 minutes,Margin of Error - 5 to 9 minutes,Estimate - 10 to 14 minutes,Margin of Error - 10 to 14 minutes,Estimate - 15 to 19 minutes,Margin of Error - 15 to 19 minutes,Estimate - 20 to 24 minutes,Margin of Error - 20 to 24 minutes,Estimate - 25 to 29 minutes,Margin of Error - 25 to 29 minutes,Estimate - 30 to 34 minutes,Margin of Error - 30 to 34 minutes,Estimate - 35 to 39 minutes,Margin of Error - 35 to 39 minutes,Estimate - 40 to 44 minutes,Margin of Error - 40 to 44 minutes,Estimate - 45 to 59 minutes,Margin of Error - 45 to 59 minutes,Estimate - 60 to 89 minutes,Margin of Error - 60 to 89 minutes,Estimate - 90 or more minutes,Margin of Error - 90 or more minutes,Block Group,Census Tract,County,State
1500000US250251106073,1008,293,37,41,28,44,0,12,109,101,105,62,85,67,122,93,42,39,54,72,175,97,236,235,15,28,3,1106.07,Suffolk County,Massachusetts
1500000US250251106074,314,132,0,12,11,18,10,16,59,35,21,36,14,23,9,14,37,43,29,34,68,56,41,33,15,25,4,1106.07,Suffolk County,Massachusetts
1500000US250251201031,846,106,25,21,36,24,69,35,120,45,127,50,54,31,132,55,59,28,51,35,87,32,75,46,11,16,1,1201.03,Suffolk County,Massachusetts
1500000US250251201041,343,100,0,12,27,33,11,17,22,24,8,14,53,52,119,74,19,23,29,29,21,25,34,32,0,12,1,1201.04,Suffolk County,Massachusetts
1500000US250251201042,343,119,0,12,0,12,25,39,0,12,10,15,15,21,124,75,51,42,35,39,51,35,32,34,0,12,2,1201.04,Suffolk County,Massachusetts
1500000US250251201043,642,98,0,12,28,26,73,85,102,79,45,37,91,61,54,44,31,28,18,23,161,102,0,12,39,61,3,1201.04,Suffolk County,Massachusetts
1500000US250251201051,409,92,48,46,27,27,35,28,43,27,81,38,4,7,63,52,11,15,15,12,35,25,43,35,4,7,1,1201.05,Suffolk County,Massachusetts
1500000US250251201052,428,105,0,12,5,8,30,22,95,50,61,37,43,31,96,61,14,20,32,31,45,32,7,11,0,12,2,1201.05,Suffolk County,Massachusetts
1500000US250251201053,270,73,4,7,24,25,46,29,27,19,75,39,29,26,17,15,5,8,13,14,18,18,12,18,0,12,3,1201.05,Suffolk County,Massachusetts
1500000US250251202011,827,195,1,2,34,40,56,42,23,23,157,83,102,58,197,91,42,34,37,41,87,57,76,85,15,16,1,1202.01,Suffolk County,Massachusetts
1500000US250251202012,1390,248,0,12,127,192,128,76,56,51,230,101,159,67,323,115,29,30,46,35,185,78,77,53,30,37,2,1202.01,Suffolk County,Massachusetts
1500000US250251202013,286,124,52,86,5,9,8,14,18,26,64,69,16,19,17,18,16,14,0,12,65,51,25,32,0,12,3,1202.01,Suffolk County,Massachusetts
1500000US250251203011,618,259,0,12,10,15,25,39,60,83,127,81,43,39,165,101,12,18,11,17,24,36,57,53,84,75,1,1203.01,Suffolk County,Massachusetts
1500000US250251203012,597,240,0,12,33,36,0,12,79,59,104,90,28,31,151,89,31,30,55,52,78,74,22,23,16,25,2,1203.01,Suffolk County,Massachusetts
1500000US250251203013,960,267,0,12,68,65,109,130,88,79,126,68,76,55,146,65,35,33,43,35,120,67,137,84,12,20,3,1203.01,Suffolk County,Massachusetts
1500000US250251203014,754,244,20,23,12,19,13,15,125,79,114,54,97,82,149,119,11,17,134,168,27,26,52,40,0,12,4,1203.01,Suffolk County,Massachusetts
1500000US250251204001,416,179,0,12,0,12,15,26,45,43,18,24,121,97,180,136,19,31,0,12,18,27,0,12,0,12,1,1204,Suffolk County,Massachusetts
1500000US250251204002,373,152,0,12,0,12,0,12,45,62,66,65,0,12,137,85,29,48,61,56,35,46,0,12,0,12,2,1204,Suffolk County,Massachusetts
