Geography,Total Estimate,Total Margin of Error,"Estimate - Car, truck, or van:","Margin of Error - Car, truck, or van:","Estimate - Car, truck, or van:","Margin of Error - Car, truck, or van:","Estimate - Car, truck, or van:","Margin of Error - Car, truck, or van:","Estimate - Car, truck, or van:","Margin of Error - Car, truck, or van:","Estimate - Car, truck, or van:","Margin of Error - Car, truck, or van:","Estimate - Car, truck, or van:","Margin of Error - Car, truck, or van:","Estimate - Car, truck, or van:","Margin of Error - Car, truck, or van:","Estimate - Car, truck, or van:","Margin of Error - Car, truck, or van:",Estimate - Public transportation (excluding taxicab):,Margin of Error - Public transportation (excluding taxicab):,Estimate - Public transportation (excluding taxicab):,Margin of Error - Public transportation (excluding taxicab):,Estimate - Public transportation (excluding taxicab):,Margin of Error - Public transportation (excluding taxicab):,Estimate - Public transportation (excluding taxicab):,Margin of Error - Public transportation (excluding taxicab):,Estimate - Public transportation (excluding taxicab):,Margin of Error - Public transportation (excluding taxicab):,Estimate - Public transportation (excluding taxicab):,Margin of Error - Public transportation (excluding taxicab):,Estimate - Taxicab,Margin of Error - Taxicab,Estimate - Motorcycle,Margin of Error - Motorcycle,Estimate - Bicycle,Margin of Error - Bicycle,Estimate - Walked,Margin of Error - Walked,Estimate - Other means,Margin of Error - Other means,Estimate - Worked from home,Margin of Error - Worked from home,Block Group,Census Tract,County,State
1500000US250250102061,1119,494,300,192,300,192,0,14,0,14,0,14,0,14,0,14,0,14,119,121,94,117,25,44,0,14,0,14,0,14,0,14,0,14,0,14,417,212,41,59,242,330,1,102.06,Suffolk County,Massachusetts
1500000US250250102062,412,157,3,7,3,7,0,14,0,14,0,14,0,14,0,14,0,14,125,108,61,80,64,81,0,14,0,14,0,14,0,14,0,14,0,14,231,112,0,14,53,55,2,102.06,Suffolk County,Massachusetts
1500000US250250103001,508,184,39,30,21,22,18,26,7,14,5,11,0,14,0,14,6,11,51,38,25,30,26,26,0,14,0,14,0,14,0,14,0,14,0,14,349,158,0,14,69,68,1,103,Suffolk County,Massachusetts
1500000US250250103002,1662,445,197,104,134,80,63,79,4,7,43,76,0,14,6,12,10,21,195,81,68,75,103,51,0,14,24,24,0,14,0,14,0,14,25,34,1024,219,14,16,207,225,2,103,Suffolk County,Massachusetts
1500000US250250104031,617,179,80,23,80,23,0,14,0,14,0,14,0,14,0,14,0,14,80,63,16,26,43,51,0,14,21,33,0,14,0,14,0,14,25,46,377,140,29,33,26,30,1,104.03,Suffolk County,Massachusetts
1500000US250250104032,526,341,9,15,9,15,0,14,0,14,0,14,0,14,0,14,0,14,124,76,0,14,124,76,0,14,0,14,0,14,0,14,0,14,33,37,251,322,0,14,109,80,2,104.03,Suffolk County,Massachusetts
1500000US250250104033,301,118,69,61,46,44,23,40,23,40,0,14,0,14,0,14,0,14,68,57,0,14,53,53,15,24,0,14,0,14,0,14,0,14,12,20,107,59,0,14,45,39,3,104.03,Suffolk County,Massachusetts
1500000US250250104041,566,199,82,55,67,50,15,23,0,14,0,14,15,23,0,14,0,14,78,45,23,22,43,36,12,19,0,14,0,14,0,14,0,14,0,14,320,140,13,25,73,68,1,104.04,Suffolk County,Massachusetts
1500000US250250104042,456,130,10,19,0,14,10,19,10,19,0,14,0,14,0,14,0,14,165,87,41,35,124,83,0,14,0,14,0,14,5,8,0,14,6,14,214,100,11,17,45,37,2,104.04,Suffolk County,Massachusetts
1500000US250250104043,514,186,38,33,21,21,17,26,0,14,0,14,17,26,0,14,0,14,192,115,59,43,133,99,0,14,0,14,0,14,0,14,0,14,0,14,244,124,0,14,40,28,3,104.04,Suffolk County,Massachusetts
1500000US250250104044,365,107,21,20,17,19,4,7,0,14,4,7,0,14,0,14,0,14,237,86,20,21,212,83,0,14,5,9,0,14,0,14,0,14,0,14,60,32,0,14,47,37,4,104.04,Suffolk County,Massachusetts
1500000US250250104051,1176,219,186,89,113,77,73,43,18,21,31,33,11,23,13,18,0,14,201,75,73,48,121,64,0,14,7,16,0,14,0,14,0,14,11,17,567,149,6,11,205,230,1,104.05,Suffolk County,Massachusetts
