Geography,Total Estimate,Total Margin of Error,Estimate - 12:00 a.m. to 4:59 a.m.,Margin of Error - 12:00 a.m. to 4:59 a.m.,Estimate - 5:00 a.m. to 5:29 a.m.,Margin of Error - 5:00 a.m. to 5:29 a.m.,Estimate - 5:30 a.m. to 5:59 a.m.,Margin of Error - 5:30 a.m. to 5:59 a.m.,Estimate - 6:00 a.m. to 6:29 a.m.,Margin of Error - 6:00 a.m. to 6:29 a.m.,Estimate - 6:30 a.m. to 6:59 a.m.,Margin of Error - 6:30 a.m. to 6:59 a.m.,Estimate - 7:00 a.m. to 7:29 a.m.,Margin of Error - 7:00 a.m. to 7:29 a.m.,Estimate - 7:30 a.m. to 7:59 a.m.,Margin of Error - 7:30 a.m. to 7:59 a.m.,Estimate - 8:00 a.m. to 8:29 a.m.,Margin of Error - 8:00 a.m. to 8:29 a.m.,Estimate - 8:30 a.m. to 8:59 a.m.,Margin of Error - 8:30 a.m. to 8:59 a.m.,Estimate - 9:00 a.m. to 9:59 a.m.,Margin of Error - 9:00 a.m. to 9:59 a.m.,Estimate - 10:00 a.m. to 10:59 a.m.,Margin of Error - 10:00 a.m. to 10:59 a.m.,Estimate - 11:00 a.m. to 11:59 a.m.,Margin of Error - 11:00 a.m. to 11:59 a.m.,Estimate - 12:00 p.m. to 3:59 p.m.,Margin of Error - 12:00 p.m. to 3:59 p.m.,Estimate - 4:00 p.m. to 11:59 p.m.,Margin of Error - 4:00 p.m. to 11:59 p.m.,Block Group,Census Tract,County,State
1500000US250251601014,1334,484,230,117,243,161,20,37,147,108,62,72,163,97,35,40,85,126,29,45,58,66,29,47,0,12,149,109,84,76,4,1601.01,Suffolk County,Massachusetts
1500000US250251601015,446,230,0,12,0,12,0,12,59,70,32,50,0,12,0,12,0,12,41,67,29,46,60,90,0,12,146,100,79,88,5,1601.01,Suffolk County,Massachusetts
1500000US250251602001,612,237,108,75,56,45,24,28,26,35,21,24,91,114,33,41,10,16,0,12,48,46,0,12,6,10,44,40,145,120,1,1602,Suffolk County,Massachusetts
1500000US250251602002,649,239,18,27,41,52,67,59,73,59,111,83,53,59,51,70,0,12,0,12,17,20,34,41,0,12,47,62,137,94,2,1602,Suffolk County,Massachusetts
1500000US250251602003,646,277,106,131,31,34,43,46,104,89,65,55,37,44,52,52,20,32,0,12,11,17,26,41,0,12,74,46,77,60,3,1602,Suffolk County,Massachusetts
1500000US250251603001,897,183,0,12,37,35,82,75,129,69,37,34,163,75,159,70,182,86,24,25,19,25,30,49,0,12,30,32,5,9,1,1603,Suffolk County,Massachusetts
1500000US250251603002,181,99,10,15,23,38,24,33,21,30,21,19,0,12,19,27,17,18,24,22,0,12,0,12,0,12,7,11,15,18,2,1603,Suffolk County,Massachusetts
1500000US250251604001,432,152,41,35,48,43,12,13,6,14,6,10,66,47,51,34,63,65,17,20,51,46,12,19,0,12,51,49,8,13,1,1604,Suffolk County,Massachusetts
1500000US250251604002,811,218,70,54,94,53,42,36,92,42,64,60,118,85,51,43,78,49,16,19,0,12,34,47,0,12,72,51,80,69,2,1604,Suffolk County,Massachusetts
1500000US250251605011,736,307,84,82,36,46,65,76,178,145,43,70,105,80,24,27,28,30,18,29,54,66,5,10,8,15,42,58,46,65,1,1605.01,Suffolk County,Massachusetts
